N,gamma,max_corr,mean_corr,mean_low_freq_ac,mean_low_freq_cc, mean_low_freq_power
60,0.0945,0.8996791506987509,0.7500247697223995,0.002290967057541572,0.0011763822746616499,0.472193434
120,0.0945,0.8074599672810691,0.6337186391736203,0.0010974302462881367,0.00043733195385996297,0.481327137
180,0.0945,0.8036307268808152,0.6013789566706818,0.0008844719862975438,0.00033933934067697494,0.501593147
240,0.0945,0.7186943931382523,0.5090657783925613,0.0007901285887065198,0.00019676899108195074,0.532172089
300,0.0945,0.66728403298342,0.46771980150576403,0.0006327729833018889,0.0001371008841304631,0.531851398
360,0.0945,0.6343774274942618,0.43563657780041837,0.000504531033226658,8.178746250863021e-05,0.524176588
420,0.0945,0.5619851705250357,0.34692196152061916,0.0004416258889373751,5.9251746679435166e-05,0.521308946
480,0.0945,0.5877328497749618,0.3846312985900931,0.00047195235303930686,5.889437259281646e-05,0.550484279
540,0.0945,0.5855862032388217,0.35658147009824864,0.0004325981086396033,4.820958907449849e-05,0.531337819
600,0.0945,0.5553707045618186,0.3255920133775094,0.0003820069854937767,3.109712336727128e-05,0.538649672